Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,HSI AGG,HSI Interface,BNG,BNG Port,HSI VSI,SIP IP,SIP AGG,SIP Interface,SIP VSI
NLZ,TRL_703_GPONA_01,TRL-703-NL1664-ATN910C-01,Eth-Trunk5||GE0/2/3(10G),2201,2031,2161,400,-,-,10.81.22.35,-,10.104.8.0/21,10.108.2.0/23,TARLAC-NL1576-AGGFMN-X16A-01,100GE12/0/0.2161,TLC_BNG-002,ET-5/3/0,HSI-50002161,100.65.128.0/18,NWTLVR-FMAGG-001-NL1910,VE1/0/0.2031,SIP-50002031
NLZ,TRL_703_HYB_01,TRL-703-NL1664-ATN910C-01,Eth-Trunk4||GE0/2/6(10G)|GE0/2/7(10G),292,"293
2031",425,400,-,-,10.81.22.35,-,10.216.216.0/22,10.218.182.0/24,TARLAC-NL1576-AGGFMN-X16A-02,100GE12/0/0.425,TLC_BNG-002,ET-10/3/0,HSI-425,"100.116.232.0/21
100.65.128.0/18","NWTLVR-FMAGG-001-NL1910
NWTLVR-FMAGG-001-NL1910","VE1/0/0.293
VE1/0/0.2031","SIP-293
SIP-50002031"
NLZ,TRL_705_HYB_01,TRL-705-NL1666-ATN910C-01,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),292,"293
1998",425,400,-,-,10.81.22.35,-,10.241.80.0/21,10.246.140.0/23,TARLAC-NL1576-AGGFMN-X16A-02,100GE12/0/0.425,TLC_BNG-002,ET-10/3/0,HSI-425,"100.116.232.0/21
100.70.96.0/19","NWTLVR-FMAGG-001-NL1910
NWTLVR-FMAGG-002-NL1910","VE1/0/0.293
VE1/0/0.1998","SIP-293
SIP-50001998"
NLZ,TRL_706_GPONA_01,TRL-706-NL1734-ATN910C-01,Eth-Trunk4||GE0/2/6(10G),292,1970,425,400,-,-,10.81.22.35,-,100.67.152.0/22,100.112.231.0/24,TARLAC-NL1576-AGGFMN-X16A-02,100GE12/0/0.425,TLC_BNG-002,ET-10/3/0,HSI-425,100.69.240.0/20,NWTLVR-FMAGG-002-NL1910,VE1/0/0.1970,SIP-50001970
NLZ,TRL_707_GPONA_01,TRL-707-NL1731-ATN910C-01,Eth-Trunk4||GE0/2/6(10G),292,1961,425,400,-,-,10.81.22.35,-,100.104.48.0/22,100.124.12.0/24,TARLAC-NL1576-AGGFMN-X16A-02,100GE12/0/0.425,TLC_BNG-002,ET-10/3/0,HSI-425,100.69.96.0/19,NWTLVR-FMAGG-001-NL1910,VE1/0/0.1961,SIP-50001961
NLZ,TRL_707_HYB_01,TRL-707-NL1731-ATN910C-01,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),292,"293
1961",425,400,-,-,10.81.22.35,-,10.241.128.0/21,10.246.152.0/23,TARLAC-NL1576-AGGFMN-X16A-02,100GE12/0/0.425,TLC_BNG-002,ET-10/3/0,HSI-425,"100.116.232.0/21
100.69.96.0/19","NWTLVR-FMAGG-001-NL1910
NWTLVR-FMAGG-001-NL1910","VE1/0/0.293
VE1/0/0.1961","SIP-293
SIP-50001961"
NLZ,TUM_001_GPONA_01,TUMAUINI_TDCAN_T980C_01_NL966,GigabitEthernet0/3/1,2327,2012,2011,400,-,-,10.175.27.20,10.175.27.9,10.131.240.0/22,10.109.60.0/24,CBNTN1-FMAGG-001-NL1115,100GE2/1/8.2011,CBN_CBN_BNG_002,ET-5/1/0,HSI-50002011,100.64.64.0/19,NWTLVR-FMAGG-002-NL1910,VE1/0/0.2012,SIP-50002012
NLZ,TUM_001_GPONA_02,TUMAUINI_TDCAN_T980C_01_NL966,GigabitEthernet0/3/2,2321,2026,2164,400,-,-,10.175.27.20,10.175.27.9,10.99.148.0/22,10.101.165.0/24,CBNTN1-FMAGG-002-NL1115,100GE3/0/21.2164,CBN_CBN_CGN_004_IPOE,ET-11/1/2,HSI-50002164,100.65.32.0/19,NWTLVR-FMAGG-002-NL1910,VE1/0/0.2026,SIP-50002026
NLZ,TUM_002_GPONA_01,LALAUANANTUMAUIISB_TDCAN_T980C_01_NL2746,GigabitEthernet0/3/2,2329,3552,2156,400,-,-,10.175.27.9,10.175.27.20,10.231.96.0/21,10.229.200.0/23,CBNTN1-FMAGG-002-NL1115,100GE2/1/9.2156,CBN_CBN_BNG_002,ET-10/3/0,HSI-50002156,100.66.128.0/18,NWTLVR-FMAGG-002-NL1910,VE1/0/0.3552,SIP-50003552
NLZ,TUO_501_GPONA_01,TUBAO2_TDCAN_T980C_01_NL483,GigabitEthernet0/3/1,2123,2026,2182,400,-,-,10.175.27.36,10.175.27.58,10.253.104.0/21,10.217.218.0/23,TARLAC-NL1576-AGGFMN-X16A-01,100GE12/0/0.2182,TLC_BNG-002,ET-5/3/0,HSI-50002182,100.65.32.0/19,NWTLVR-FMAGG-002-NL1910,VE1/0/0.2026,SIP-50002026
