Region,Node Name,Uplink,Uplink_NMS,Trunk,Trunk_NMS,OM,OM_NMS,SIP,SIP_NMS,HSI,HSI_NMS,IPOE,IPOE_NMS,SIGNALING,SIGNALING_NMS,MEDIA,MEDIA_NMS,Auth IP,Auth IP_NMS,UnAuth IP,UnAuth IP_NMS
NCR,PSG_144_HYB_01,ATN910B,PSG_144_TDCAN_910C_01_NCR2503,MANDA-ATR2-PSG144-ATN910C-01,Eth-Trunk2||GE0/2/4(10G),919,N/A,1187,N/A,922,N/A,400,N/A,nan,,nan,,100.77.140.0/23,10.159.144.0/21,100.115.131.0/25,10.196.84.0/23
NCR,PSG_150_HYB_01,ATN910B,PSG_150_TDCAN_910B_01_NCR2530,PSG-150-NCR2530-ATN910C-01,Eth-Trunk3||GE0/2/19|GE0/2/20,913,2146,2146,,916,N/A,400,-,nan,,nan,,100.78.4.0/23,-,100.115.180.128/25,-
NCR,PSG_624_HYB_01,ATN910B,MDPS_624_TDCAN_910C_01_NCR1449,MDPS-624-NCR1449-ATN910C-01,Eth-Trunk2||GE0/2/5(10G),3072,N/A,1217,N/A,1583,N/A,400,N/A,3030,,3031,,100.78.10.0/23,10.159.152.0/21,100.115.86.128/25,10.196.86.0/23
NCR,PSG_708_HYB_01,ATN910B,PSG_708_TDCAN_910CG_01_NCR1463,PSG-708-NCR1463-ATN910C-01/Eth-Trunk3,Eth-Trunk3||GE0/2/4(10G),3072,N/A,3001,N/A,1430,N/A,400,N/A,3034,,3035,,100.79.0.0/23,10.160.128.0/19,100.115.213.128/25,10.196.144.0/21
NCR,PSG_724_HYB_01,ATN910B,PSG_724_TDCAN_01_T910CG_NCR2151,PSG-724-NCR2151-ATN910C-01,Eth-Trunk2||GE0/2/4(10G),3072,N/A,1694,N/A,721,N/A,400,N/A,nan,,nan,,100.77.206.0/23,10.158.96.0/20,100.115.168.0/25,10.196.8.0/22
NCR,PSG_728_HYB_01,ATN910B,PSG_728_TDCAN_910CG_01_NCR2153,PSG-728-NCR2153-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),1608,N/A,2038,N/A,721,N/A,400,N/A,nan,,nan,,100.78.24.0/23,10.159.160.0/21,100.115.164.128/25,10.196.88.0/23
NCR,PSG_143_VDB_01,ATN910B,PSG_143_TDCAN_01_T910CG_NCR2594,PSG-143-NCR2594-ATN910C-01,Eth-Trunk5||GE0/2/14|GE0/2/15,907,N/A,911,,910,"910
911",400,N/A,nan,,nan,,100.81.207.0/24,N/A,100.116.174.64/26,N/A
NCR,PSG_731_HYB_01,ATN910B,PSG-731_TDCAN_910CG_NCR2621,PSG-731-NCR2621-ATN910C-01,Eth-Trunk4||GE0/2/4(10G),986,3736,2150,"987
1105
2150",721,N/A,400,N/A,nan,,nan,,100.77.74.0/23,N/A,100.115.221.0/25,N/A
NCR,PSG_733_HYB_01,ATN910B,PSG_733_TDCAN_910CG_01_NCR2497,PSG-733- NCR2497-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),986,N/A,2150,N/A,721,N/A,400,N/A,nan,,nan,,100.78.236.0/23,10.159.168.0/21,100.115.162.128/25,10.196.90.0/23
NCR,PSG_629_VDB_01,ATN910B,MDPS-629-NCR1452-ATN910B-01,MDPS-629-NCR1452-ATN910C-01,Eth-Trunk3||GE0/2/20|GE0/2/21,1725,N/A,1616,N/A,3344,"2519
3344",400,N/A,nan,,nan,,100.82.187.128/25,N/A,100.116.202.96/27,N/A
NCR,PSY_010_HYB_03,-,PSY_010_TDCAN_T910D_01_NCR6905,-,Eth-Trunk5||GE0/2/6(10G),1676,N/A,1675,"1675
3409",1677,N/A,400,N/A,nan,,nan,,100.98.208.0/20,-,100.120.184.0/22,-
NCR,PSY_602_HYB_01,ATN910C,PSY_602_TDCAN_910C_01_NCR1746,PSY-602-NCR1746-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),1003,1004,1017,N/A,1004,,400,N/A,nan,,nan,,100.78.182.0/23,N/A,100.115.132.128/25,N/A
NCR,PSG_732_VDB_01,ATN910C-B,PSG-732-NCR2496-ATN910C-01,PSG-732-NCR2496-ATN910C-01,GigabitEthernet0/2/13,986,3736,987,"987
1105",721,"659
721",400,N/A,nan,,nan,,100.81.201.0/24,N/A,100.116.168.64/26,N/A
NCR,PSG_735_VDB_01,ATN910B,PSG_735_TDCAN_01_T910CG_01_NCR2699,MANDA-ATR2-PSG735-ATN910C-01,Eth-Trunk3||GE0/2/20|GE0/2/21,919,2884,1187,N/A,922,N/A,400,N/A,nan,,nan,,100.79.42.0/23,N/A,100.116.0.128/25,N/A
NCR,PSG_742_VDA_01,ATN910B,PSG_742_TDCAN_910C_G_01_NCR2703,PSG-742-NCR2703-ATN910C-01,GigabitEthernet0/2/19,3102,N/A,,N/A,"721
3212","50
721
3212",400,N/A,3210,,3211,,100.82.149.0/25,N/A,100.116.192.192/27,N/A
NCR,PSY_605_HYB_01,ATN910B,PSY_605_TDCAN_910C_01_NCR1711,PSY-605-NCR1711-ATN910-01,Eth-Trunk3||GE0/2/4(10G),3072,N/A,2164,N/A,716,N/A,400,N/A,3038,,3039,,100.78.0.0/23,10.159.176.0/21,100.115.85.128/25,10.196.92.0/23
NCR,PSG_747_VDA_01,-,PSG-747_TDCAN_T910C_01_NCR3347,-,GigabitEthernet0/2/12,3102,3071,,2988,3233,,400,-,3231,,3232,,100.98.80.0/20,-,100.120.64.0/21,-
